Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,28.24866485595703,28.462130290261946,27.55489880151574,27.55489880151574,212976
2002-08-13,27.866191864013672,28.737845873438676,27.661621472628568,28.284230316063937,153576
2002-08-14,25.945005416870117,27.92845855321786,25.4202328458156,27.92845855321786,822776
2002-08-15,25.945005416870117,25.945005416870117,25.945005416870117,25.945005416870117,0
2002-08-16,25.88273811340332,27.039011637369793,25.43801752726237,25.811583905364387,811856
2002-08-19,25.24233627319336,26.096200236240556,25.002188814884242,26.096200236240556,205880
2002-08-20,25.945005416870117,27.554892098290853,25.2512395311999,25.4202328458156,3773624
2002-08-21,27.216899871826172,27.89287570563223,25.98947213982077,27.376998197093297,3011064
2002-08-22,28.390966415405273,29.582817173966564,27.9729279328902,28.11523907891827,6732480
2002-08-23,30.098691940307617,31.041500226446928,28.293127253567476,28.64000880491665,4841672
2002-08-26,29.991958618164062,30.77466579542544,29.751808406271127,30.57898764393052,2576912
2002-08-27,29.244821548461914,31.486214149965686,28.995779132454278,30.240996641209982,3694224
2002-08-28,29.271503448486328,29.600594985324822,28.666681948226817,29.15587449146863,1674960
2002-08-29,29.271503448486328,29.79627308836494,28.995776199423794,29.093615250943852,1236544
2002-08-30,31.34391212463379,32.10883221614517,29.35156407570057,29.36045903192875,3762384
2002-09-02,31.664106369018555,32.713645887641256,31.343906997695985,31.841994607046747,2389568
2002-09-03,30.178733825683594,31.975405837483144,29.885219364101076,31.841989679607693,986784
2002-09-04,30.836923599243164,31.13043807246864,29.449394959427092,29.796276440791413,1449856
2002-09-05,30.650146484375,31.922046405489933,30.24100296027587,31.779735260452064,1061360
2002-09-06,29.511655807495117,30.774663306391158,29.182564215782016,30.774663306391158,907472
2002-09-09,29.12921142578125,30.374429624135256,28.106353619990458,28.106353619990458,880848
2002-09-10,29.12921142578125,29.12921142578125,29.12921142578125,29.12921142578125,0
2002-09-11,29.86743927001953,30.38331687857401,29.28930239595026,29.28930239595026,635936
2002-09-12,30.018659591674805,30.756895171444242,29.814089071312917,30.232125072565655,781968
2002-09-13,29.164785385131836,30.045331901385303,28.915742858193877,28.969109889497716,338264
2002-09-16,28.59553337097168,29.600600798733453,28.373173080373142,29.440502475246113,288592
2002-09-17,29.431610107421875,29.618393310812365,29.01357435297191,29.11141071794665,462952
2002-09-18,28.524391174316406,29.351570717894834,28.284240873607747,29.262626564204243,315432
2002-09-19,28.284225463867188,29.227033522201165,27.92844904293804,28.284225463867188,490848
2002-09-20,27.82171058654785,28.230853948129667,27.154629903868237,27.27025885081432,501072
2002-09-23,27.350299835205078,28.08853448485138,27.234673637091902,28.01738031899057,248504
2002-09-24,26.4252986907959,27.252477924054915,26.131781465114948,27.252477924054915,267912
2002-09-25,26.629878997802734,26.861134339625178,25.615916191430635,25.81159441474812,379544
2002-09-26,27.04791259765625,27.47484336940323,26.861129367132076,27.18132880312214,178136
2002-09-27,27.37699317932129,27.75055948895448,26.95895753358358,26.95895753358358,206288
2002-09-30,26.38081932067871,27.37699156364641,25.811577651217398,26.958955942579404,202232
2002-10-01,26.158472061157227,26.86113022278869,25.70485640525143,26.505353663546458,240192
